frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
410,174.0,"[476.71055515400985, 523.1448733134182, 607.4103512633551, 730.5851424153996]","[493.09271240234375, 605.9338989257812, 541.9171752929688, 637.7448120117188]","59-Y3
2851"
411,149.0,"[656.1031520938401, 690.1486868657113, 913.2891608423871, 1089.7839239053683]","[718.9682006835938, 807.8410034179688, 828.00439453125, 874.8338012695312]","59-V3
305.99"
411,174.0,"[484.00851724077654, 519.6010256916145, 613.1491777961238, 727.3218534099308]","[497.3149108886719, 606.0570678710938, 548.2392578125, 636.1661987304688]","59-Y3
2851"
412,149.0,"[653.4490615245622, 686.8748439466166, 910.9206220852914, 1085.9319572489258]","[719.08447265625, 808.9971313476562, 825.8228759765625, 874.8759155273438]","59-V3
305.99"
413,149.0,"[656.5344171378331, 681.0921009520728, 914.7757489361043, 1081.5278080573485]","[723.8303833007812, 802.26708984375, 828.030029296875, 867.8572998046875]","59-V3
305.99"
413,174.0,"[497.7762464414992, 512.1396695319096, 626.0082921498052, 722.3824769744557]","[514.7847900390625, 601.8389892578125, 565.78369140625, 634.0181884765625]","59-F3
7785"
414,149.0,"[661.2316693002506, 676.138255589683, 918.84295839786, 1077.009728484014]","[724.945068359375, 801.4949340820312, 830.8397216796875, 867.7175903320312]","59-V3
305.99"
415,149.0,"[666.8187528698895, 670.5478854867536, 921.7717185732254, 1071.6535156424477]","[730.22119140625, 796.998046875, 836.1143188476562, 864.492919921875]","59-V3
305.99"
415,174.0,"[512.0598597000819, 490.38417474184155, 646.3702709031847, 711.0297191047622]","[539.8357543945312, 600.6080932617188, 585.8307495117188, 632.0006103515625]",59AY6C7789
416,149.0,"[669.49774367955, 670.9878763266493, 922.2552759722087, 1070.6225679136892]","[734.9573364257812, 798.6329345703125, 839.3248901367188, 860.938232421875]","59-V3
305.99"
416,199.0,"[14.708871251085611, 473.84712044683477, 169.14453533666924, 712.1075806529296]","[16.78732681274414, 564.8549194335938, 70.02174377441406, 597.384521484375]","59-T4
055.01"
417,149.0,"[671.490526068892, 672.9072771455075, 921.0321339860611, 1068.5390195345797]","[739.07373046875, 793.1966552734375, 842.564208984375, 860.190185546875]","59-V3
305.99"
418,149.0,"[678.2542319474983, 670.4267442454685, 925.7538244585853, 1063.5689841449957]","[744.3782958984375, 790.5340576171875, 847.8240966796875, 855.1446533203125]","59-V3
305.99"
418,174.0,"[517.713233740688, 505.58665334122566, 666.1012083182496, 717.1567661161355]","[567.72216796875, 594.8875122070312, 615.6860961914062, 626.9622802734375]","59-Y6
7851"
418,199.0,"[43.01646186328712, 461.8573125766741, 207.57779432788425, 703.3507366545969]","[56.16631317138672, 557.685302734375, 103.36038208007812, 589.2935180664062]",59PY4405501
